,price,Overall.Qual,Garage.Area,Total.Bsmt.SF,X1st.Flr.SF,Full.Bath,AgeofHouse,Mas.Vnr.Area,TotRms.AbvGrd,Fireplaces,Wood.Deck.SF,Open.Porch.SF
70,254900,7,678.0,991.0,991,2,5,0.0,8,1,0,136
71,271500,6,528.0,1468.0,1468,2,5,0.0,6,1,0,102
72,233000,7,618.0,956.0,956,2,6,0.0,8,0,0,45
73,181000,7,484.0,831.0,831,2,6,122.0,8,0,144,68
74,205000,7,463.0,948.0,1222,2,8,0.0,8,2,0,130
75,143000,6,264.0,923.0,923,2,30,0.0,5,1,80,0
76,189000,6,462.0,1055.0,1055,2,18,0.0,8,1,635,104
77,99500,6,264.0,918.0,918,2,31,0.0,5,1,28,0
78,125000,6,264.0,744.0,752,1,26,0.0,4,0,353,0
79,194500,7,457.0,996.0,1014,2,7,0.0,7,0,370,70
80,152000,6,480.0,1040.0,1097,2,25,0.0,6,0,0,0
81,171000,6,476.0,650.0,888,2,29,130.0,7,1,0,50
82,67500,5,429.0,816.0,1012,1,60,0.0,5,0,121,0
83,112000,6,539.0,0.0,1318,2,32,0.0,8,0,0,0
84,148000,5,576.0,1109.0,1155,1,15,0.0,6,0,192,0
85,138500,5,336.0,894.0,894,1,1,0.0,5,1,416,144
86,122000,5,280.0,882.0,900,1,43,31.0,5,0,0,0
87,133000,5,308.0,1040.0,1040,1,47,0.0,5,0,0,0
88,127000,5,260.0,1040.0,1040,1,0,0.0,6,0,0,104
89,169000,6,461.0,1208.0,1494,2,8,250.0,7,2,296,0
90,190000,7,564.0,750.0,1061,2,18,0.0,8,1,240,39
91,362500,8,762.0,1231.0,1251,2,17,504.0,9,1,32,130
92,285000,8,713.0,1390.0,1402,2,17,180.0,7,1,198,30
93,260000,7,506.0,1488.0,1488,2,5,0.0,6,1,168,50
94,190000,7,588.0,840.0,840,2,6,0.0,3,0,0,111
95,155000,7,480.0,600.0,600,2,6,120.0,4,0,0,172
96,151000,7,480.0,600.0,600,2,5,0.0,4,0,0,172
97,149500,7,480.0,600.0,600,2,5,0.0,4,0,0,172
98,152000,6,480.0,600.0,600,2,5,216.0,4,0,0,166
99,222000,7,484.0,1470.0,1478,2,1,432.0,7,1,0,144
100,177500,6,440.0,756.0,769,2,10,216.0,5,0,0,32
101,177000,6,440.0,756.0,756,2,10,1159.0,5,0,0,32
102,155000,7,484.0,696.0,696,2,11,0.0,6,0,0,44
103,147110,7,496.0,530.0,530,2,7,0.0,4,0,0,50
104,267916,8,852.0,1642.0,1418,1,0,0.0,6,1,160,192
105,254000,8,592.0,975.0,975,2,10,0.0,7,1,280,184
106,155000,8,484.0,728.0,788,1,30,0.0,3,1,133,42
107,206000,8,484.0,1226.0,1226,1,32,0.0,4,1,223,78
108,130500,6,475.0,725.0,725,2,5,289.0,6,0,0,44
109,230000,7,596.0,1492.0,1492,2,8,0.0,6,1,277,137
110,218500,6,535.0,1829.0,1829,2,43,120.0,8,0,0,76
111,243500,6,660.0,1280.0,1280,2,17,0.0,9,1,224,32
112,205000,6,480.0,1610.0,1610,2,9,28.0,6,2,168,68
113,212500,6,678.0,1224.0,1287,3,32,0.0,7,1,0,69
114,196500,7,496.0,980.0,980,2,22,42.0,7,1,228,66
115,197500,6,676.0,1161.0,1381,1,4,0.0,5,1,0,0
116,171000,6,441.0,715.0,930,1,39,0.0,7,0,0,78
117,142250,5,490.0,1232.0,1232,1,44,172.0,6,0,0,224
118,143000,6,528.0,1328.0,1328,1,47,451.0,6,2,0,26
119,128950,4,0.0,950.0,1225,1,51,0.0,6,0,352,0
120,159000,5,504.0,1209.0,1209,1,44,0.0,6,0,0,0
121,178900,5,517.0,1510.0,1510,2,43,268.0,6,0,0,40
122,136300,6,480.0,533.0,1131,2,46,0.0,8,0,0,172
123,180500,5,484.0,1152.0,1152,1,46,86.0,6,1,227,0
124,137500,6,480.0,936.0,1054,1,47,156.0,6,0,120,0
125,84900,5,0.0,1728.0,1728,2,9,144.0,10,0,0,0
126,142125,5,240.0,1078.0,1078,1,14,0.0,5,0,366,0
127,197600,5,400.0,1140.0,1929,2,8,265.0,7,2,0,0
128,172500,6,470.0,782.0,1019,2,60,340.0,6,1,0,0
129,116500,5,0.0,858.0,858,1,2,0.0,4,0,117,0
130,76500,3,0.0,728.0,1306,1,44,0.0,6,0,263,0
131,128000,5,280.0,1056.0,1063,1,56,110.0,6,0,0,0
132,153000,6,364.0,1156.0,1520,1,38,164.0,7,2,0,0
133,132000,5,244.0,1268.0,1268,1,56,200.0,7,1,0,98
134,178000,6,315.0,1080.0,1128,1,2,216.0,5,1,238,0
135,154300,5,480.0,1105.0,1105,2,50,361.0,12,0,0,0
136,180000,7,576.0,1947.0,2207,2,21,287.0,7,1,301,0
137,190000,6,578.0,1517.0,1888,2,8,0.0,6,1,0,0
138,135000,5,576.0,1604.0,1604,2,52,0.0,8,0,42,0
139,214000,7,620.0,1480.0,1480,2,1,506.0,7,0,252,73
140,136000,5,308.0,1143.0,1143,1,51,150.0,6,0,0,0
141,165500,5,447.0,1398.0,1700,1,51,0.0,6,1,0,38
142,145000,5,294.0,1314.0,1314,1,53,0.0,5,0,250,0
143,148000,6,312.0,1194.0,1194,1,51,220.0,6,0,0,0
144,142000,5,531.0,1188.0,1188,1,51,180.0,6,0,0,0
145,167500,5,461.0,1268.0,1264,1,50,324.0,6,2,0,0
146,108538,5,312.0,1206.0,1206,1,51,91.0,6,0,0,21
147,159500,6,440.0,1244.0,1580,1,51,432.0,6,2,0,28
148,108000,4,263.0,832.0,832,1,54,0.0,5,0,0,0
149,135000,5,318.0,864.0,1064,1,58,0.0,4,0,0,0
150,122500,5,305.0,972.0,972,1,55,0.0,5,0,0,0
151,119000,5,264.0,988.0,988,1,52,0.0,5,0,0,0
152,109000,5,246.0,1057.0,1057,1,3,0.0,5,0,0,52
153,105000,4,676.0,576.0,985,1,16,0.0,4,0,0,0
154,107500,5,392.0,0.0,827,1,3,0.0,5,1,0,0
155,144900,5,490.0,1086.0,1086,1,7,104.0,6,0,0,0
156,129000,5,308.0,936.0,936,1,10,0.0,4,0,0,0
157,97500,6,330.0,912.0,912,1,60,0.0,6,1,192,0
158,144000,6,576.0,1056.0,1056,0,30,0.0,4,0,264,56
159,162000,5,576.0,1063.0,1287,1,4,0.0,7,1,364,17
160,242000,7,564.0,710.0,1898,2,3,300.0,11,1,240,0
161,132000,6,280.0,816.0,816,1,6,0.0,5,0,414,0
162,154000,5,305.0,1246.0,1246,1,16,0.0,6,0,218,0
163,166000,5,720.0,910.0,910,2,58,0.0,6,0,0,0
164,134800,5,576.0,900.0,900,1,10,0.0,5,0,222,32
165,160000,6,440.0,1116.0,1116,1,48,261.0,5,0,0,0
166,148000,5,484.0,1175.0,1175,1,50,0.0,6,0,0,0
167,192000,6,440.0,1395.0,1395,1,26,218.0,7,1,657,0
168,155000,6,442.0,756.0,1051,1,44,351.0,7,1,0,124
169,80400,4,240.0,709.0,1157,1,56,771.0,9,2,84,0
170,96500,4,0.0,576.0,792,1,6,0.0,7,0,0,160
171,109500,5,0.0,936.0,936,1,60,0.0,5,1,51,0
172,115000,5,360.0,1008.0,1028,1,60,0.0,5,1,0,0
173,143000,5,551.0,1347.0,1347,1,53,0.0,6,0,0,0
174,107400,3,379.0,840.0,840,2,60,0.0,8,0,0,0
175,80000,4,220.0,747.0,747,1,60,0.0,4,0,0,0
176,119000,5,240.0,788.0,804,1,18,294.0,4,2,0,0
177,130000,5,484.0,926.0,926,1,9,0.0,6,0,0,0
178,119000,6,240.0,827.0,827,1,10,0.0,6,0,0,0
179,129000,5,240.0,1027.0,1027,1,1,0.0,7,1,0,100
180,100000,5,315.0,1008.0,1060,1,48,0.0,6,0,0,0
181,12789,2,780.0,678.0,832,1,40,0.0,5,1,0,0
182,105900,6,484.0,624.0,720,1,7,0.0,5,0,106,0
183,150000,8,288.0,930.0,930,2,7,0.0,7,0,54,228
184,139000,5,416.0,686.0,966,2,60,0.0,7,0,0,0
185,240000,8,624.0,346.0,1157,3,8,0.0,7,0,0,108
186,76500,5,0.0,840.0,1128,2,60,0.0,12,0,0,18
187,149700,6,923.0,912.0,1236,1,14,0.0,6,0,0,158
188,125500,4,528.0,622.0,741,1,60,0.0,6,0,0,0
189,122500,4,560.0,777.0,1246,2,60,0.0,11,0,0,0
190,140750,6,624.0,738.0,868,1,16,0.0,6,0,0,0
191,128500,5,363.0,988.0,1030,1,13,0.0,7,0,0,0
192,209500,7,315.0,1108.0,1160,1,5,0.0,8,1,0,0
193,87000,4,200.0,765.0,765,1,60,0.0,4,0,135,0
194,134000,6,240.0,608.0,608,1,60,0.0,5,0,0,0
195,128000,6,576.0,572.0,848,1,60,0.0,6,2,0,0
196,132000,5,240.0,835.0,955,1,60,300.0,7,2,0,0
197,139900,6,312.0,780.0,780,1,60,0.0,6,0,221,0
198,123900,5,624.0,528.0,548,1,30,0.0,5,0,306,0
199,138400,5,480.0,928.0,928,2,60,0.0,7,1,0,10
200,109500,6,288.0,1124.0,1068,1,60,0.0,5,1,0,0
201,140000,7,480.0,576.0,902,2,60,0.0,9,0,12,11
202,149500,4,572.0,888.0,888,1,60,0.0,9,1,160,0
203,159900,6,0.0,780.0,780,1,1,0.0,7,0,344,0
204,122000,6,180.0,662.0,662,1,17,0.0,6,0,0,0
205,110000,5,516.0,816.0,816,1,47,0.0,5,0,106,0
206,55000,4,0.0,0.0,372,2,60,0.0,7,0,0,0
207,140000,5,672.0,360.0,1032,2,14,0.0,8,1,344,0
208,244400,7,349.0,1032.0,1207,2,60,0.0,10,2,56,0
209,173000,5,365.0,1422.0,1675,2,51,90.0,8,2,0,132
210,107500,5,180.0,689.0,725,1,60,0.0,6,0,0,0
211,100000,5,0.0,1212.0,1212,1,60,0.0,6,0,0,0
212,95000,6,231.0,600.0,600,1,60,0.0,5,0,0,0
213,93369,4,0.0,707.0,942,1,60,0.0,7,0,0,0
214,114900,5,450.0,856.0,936,2,60,0.0,7,1,56,144
215,94000,5,0.0,780.0,780,1,14,0.0,6,0,0,0
216,136000,4,0.0,1832.0,1832,2,43,72.0,8,0,0,58
217,136500,4,0.0,1768.0,1768,2,42,0.0,8,0,0,0
218,131500,5,504.0,1039.0,1039,1,45,0.0,6,0,0,0
219,121500,5,528.0,1392.0,1392,1,14,180.0,5,1,0,0
220,125000,5,336.0,912.0,912,1,43,0.0,5,1,0,0
221,154000,5,270.0,1060.0,1060,1,9,0.0,6,1,406,90
222,137900,5,416.0,864.0,892,1,2,47.0,5,0,0,0
223,158000,6,299.0,663.0,663,1,41,143.0,7,0,379,36
224,137250,5,280.0,864.0,864,1,42,0.0,4,0,226,0
225,160250,5,591.0,1319.0,1373,1,32,0.0,5,2,0,0
226,163000,5,480.0,720.0,720,1,42,0.0,7,2,192,38
227,158900,6,440.0,672.0,672,2,32,328.0,6,1,335,0
228,328000,7,533.0,1306.0,1306,2,13,0.0,7,0,296,44
229,270000,7,690.0,1420.0,1483,1,9,0.0,4,2,496,0
230,85000,4,440.0,660.0,756,1,60,0.0,4,0,80,0
231,128000,4,436.0,1067.0,1067,2,15,0.0,4,0,290,0
232,260000,7,586.0,1332.0,1332,0,31,0.0,4,1,268,0
233,230000,6,522.0,1117.0,1117,2,18,288.0,8,1,336,104
234,124000,3,480.0,972.0,1052,2,20,0.0,8,1,0,0
235,83000,5,366.0,458.0,835,1,60,0.0,5,0,0,0
236,144500,6,467.0,663.0,1074,1,23,0.0,6,1,0,52
237,129000,5,596.0,1144.0,1144,1,54,0.0,6,0,44,0
238,127000,4,209.0,756.0,1169,1,31,0.0,8,1,0,0
239,128000,5,366.0,1172.0,1172,1,12,0.0,5,0,240,0
240,186000,6,460.0,1212.0,1212,2,1,0.0,6,0,100,22
241,308030,7,572.0,1508.0,1508,1,0,96.0,5,2,0,0
242,114000,5,504.0,1250.0,1298,2,46,0.0,5,0,0,144
243,84900,4,308.0,0.0,930,1,4,0.0,6,0,0,0
244,178000,6,476.0,741.0,977,2,25,336.0,7,1,192,46
245,270000,7,528.0,1433.0,1433,1,23,177.0,4,2,0,278
246,218000,6,1017.0,946.0,964,2,17,85.0,8,1,450,92
247,236000,7,574.0,1050.0,1062,2,16,246.0,8,1,156,90
248,147000,6,564.0,936.0,996,1,18,0.0,5,0,120,0
249,245350,8,776.0,1694.0,1694,2,2,72.0,7,0,160,33
250,206000,7,632.0,1187.0,1208,2,4,24.0,6,0,105,61
251,198900,7,740.0,1226.0,1226,2,1,0.0,6,0,0,36
252,187000,7,615.0,1222.0,1222,2,0,80.0,6,0,0,54
253,320000,7,594.0,1673.0,1699,3,20,0.0,11,2,367,0
254,138500,6,484.0,676.0,831,2,17,0.0,6,0,0,59
255,155000,6,440.0,1010.0,1052,1,39,80.0,6,0,0,0
256,159000,5,580.0,870.0,965,1,14,0.0,4,0,71,0
257,191000,7,513.0,878.0,892,2,12,0.0,8,1,0,39
258,200500,6,523.0,804.0,804,2,12,116.0,7,0,0,77
259,150000,5,308.0,1026.0,1026,1,6,0.0,5,0,316,85
260,161750,6,299.0,689.0,689,1,33,153.0,6,0,0,36
261,128200,5,308.0,894.0,894,1,34,0.0,5,0,365,0
262,127000,5,484.0,876.0,876,1,38,0.0,5,0,0,0
263,318000,8,850.0,1978.0,1978,2,7,320.0,8,1,188,25
264,272000,8,670.0,1581.0,1601,2,8,479.0,6,1,180,0
265,237000,7,613.0,941.0,941,2,7,223.0,7,1,192,39
266,240000,7,621.0,1040.0,1044,2,13,0.0,9,1,331,38
267,224900,7,598.0,1649.0,1661,2,12,442.0,6,0,0,34
268,143750,6,420.0,848.0,848,1,7,170.0,4,0,140,0
269,143000,6,420.0,848.0,848,1,6,169.0,3,0,160,0
270,232000,8,502.0,1657.0,1668,2,7,171.0,8,1,0,262
271,213000,7,606.0,1473.0,1484,2,5,109.0,7,0,0,35
272,185500,7,494.0,1414.0,1414,2,6,98.0,6,0,132,105
273,84900,3,240.0,0.0,640,1,3,0.0,5,0,0,0
274,155891,5,319.0,381.0,992,1,56,0.0,6,0,60,0
275,100000,5,0.0,0.0,1664,2,45,0.0,8,0,0,0
276,144000,5,336.0,1196.0,1196,1,42,0.0,6,0,257,0
277,64000,4,480.0,744.0,792,1,60,0.0,5,0,0,0
278,125200,6,352.0,1008.0,1096,1,35,0.0,5,1,0,0
279,107000,6,672.0,1029.0,1117,1,34,0.0,6,1,144,0
280,90000,4,0.0,960.0,960,1,52,0.0,5,0,0,0
281,140000,4,440.0,1121.0,1121,2,6,0.0,5,0,132,64
282,113000,6,220.0,735.0,798,1,60,0.0,7,1,0,140
283,80000,4,280.0,672.0,672,1,60,0.0,5,0,0,0
284,144500,5,364.0,1216.0,1526,1,8,145.0,7,1,116,78
285,104000,5,260.0,1107.0,1296,2,11,203.0,5,1,0,0
286,128000,6,216.0,806.0,841,1,60,0.0,6,0,0,66
287,58500,3,200.0,864.0,864,1,60,0.0,5,0,0,0
288,127000,5,308.0,1026.0,1026,2,60,0.0,6,1,0,0
289,126000,6,399.0,856.0,856,1,60,0.0,4,1,0,0
290,160000,4,0.0,0.0,862,3,43,0.0,10,0,0,0
291,100000,5,0.0,894.0,894,1,60,0.0,7,1,0,156
292,169000,6,336.0,804.0,1699,2,20,0.0,10,1,272,0
293,257500,7,312.0,1528.0,1225,1,25,371.0,8,2,0,0
294,215000,5,484.0,1032.0,1102,2,19,430.0,11,0,0,0
295,266500,7,252.0,1152.0,1188,2,4,0.0,9,2,0,60
296,335000,7,567.0,1902.0,1902,2,8,0.0,7,2,0,207
297,203135,7,473.0,423.0,896,2,3,44.0,6,0,0,0
298,185000,8,598.0,982.0,1034,1,21,0.0,4,1,141,36
299,162500,8,531.0,1191.0,1191,2,21,0.0,5,1,112,81
300,289000,7,484.0,1501.0,1801,2,13,0.0,6,2,0,54
301,125500,4,240.0,796.0,796,1,3,0.0,7,0,0,96
302,82000,2,200.0,480.0,540,1,60,0.0,4,0,0,0
303,110000,6,625.0,629.0,727,1,35,0.0,5,0,0,56
304,68400,4,528.0,698.0,698,1,60,0.0,6,0,30,0
305,102776,4,384.0,859.0,859,1,60,0.0,7,0,68,0
306,55993,5,504.0,540.0,1044,1,58,0.0,4,0,0,0
307,50138,4,330.0,756.0,952,1,60,0.0,5,0,0,0
308,246000,8,525.0,1594.0,1646,2,5,186.0,5,1,128,53
309,254900,8,741.0,1049.0,1036,2,11,0.0,8,1,0,70
310,190000,6,473.0,1243.0,1285,2,33,0.0,6,1,375,26
311,201000,7,573.0,1560.0,1560,2,7,0.0,7,0,100,150
312,169900,6,888.0,1012.0,1034,1,34,335.0,6,0,0,0
313,170000,6,776.0,1958.0,2048,3,34,0.0,9,0,0,0
314,160000,5,572.0,747.0,1687,1,60,0.0,7,2,0,0
315,220000,7,660.0,1336.0,1346,2,2,60.0,6,1,100,48
316,179781,7,520.0,1214.0,1214,2,0,0.0,6,0,0,25
317,174000,5,400.0,384.0,744,2,3,0.0,7,0,100,0
318,269500,8,680.0,774.0,774,2,0,84.0,8,1,0,75
319,214900,7,510.0,817.0,824,2,7,44.0,8,1,0,40
320,202900,8,431.0,967.0,993,2,8,0.0,9,0,135,0
321,378500,9,746.0,2002.0,2018,2,1,0.0,10,1,144,76
322,169000,5,528.0,1068.0,1264,1,33,0.0,7,1,0,0
323,173500,5,624.0,1430.0,1430,2,5,0.0,7,0,0,0
324,139000,6,0.0,912.0,912,2,39,0.0,8,0,128,0
325,166500,5,686.0,1344.0,1344,2,11,0.0,7,1,328,0
326,83500,4,286.0,546.0,546,1,37,0.0,6,0,120,96
327,119500,5,253.0,945.0,945,1,37,0.0,5,1,174,0
328,85000,5,336.0,536.0,536,1,34,0.0,4,0,182,0
329,76000,4,0.0,546.0,546,1,40,0.0,5,0,200,26
330,75500,4,0.0,630.0,630,1,38,0.0,3,0,96,24
331,88250,4,0.0,546.0,546,1,40,0.0,5,0,0,0
332,85500,4,286.0,546.0,546,1,38,0.0,5,0,0,0
333,130000,5,352.0,864.0,874,1,6,0.0,5,0,0,0
334,157900,5,312.0,1188.0,1188,1,48,189.0,6,0,261,39
335,149900,5,495.0,833.0,833,1,26,0.0,5,0,431,0
336,159000,5,616.0,1216.0,1216,4,24,0.0,10,0,200,0
337,136000,5,576.0,624.0,624,1,19,0.0,6,0,22,0
338,161000,5,275.0,864.0,864,2,41,0.0,8,0,287,0
339,285000,8,482.0,1679.0,1803,2,15,0.0,6,2,129,64
340,231000,6,616.0,1152.0,1152,2,16,0.0,7,1,162,312
341,124500,6,502.0,882.0,882,1,53,0.0,5,0,0,0
342,157000,6,528.0,1434.0,1434,2,35,440.0,7,1,80,21
343,345000,8,538.0,1952.0,2000,2,14,0.0,9,3,269,111
344,189500,6,470.0,945.0,945,2,12,0.0,7,1,252,30
345,270000,8,632.0,1008.0,1008,2,6,188.0,9,1,120,46
346,189000,7,390.0,384.0,958,2,12,32.0,7,1,48,72
347,377500,9,758.0,1746.0,1746,2,2,160.0,7,2,201,39
348,168500,7,400.0,384.0,804,2,13,22.0,7,1,120,72
349,375000,8,564.0,2208.0,2522,2,4,0.0,8,1,182,57
350,278000,8,499.0,1501.0,1659,2,9,0.0,5,1,212,59
351,240000,8,495.0,1418.0,1478,2,11,0.0,5,0,168,43
352,239500,8,528.0,1587.0,1734,2,13,0.0,6,0,52,50
353,177500,7,396.0,384.0,751,2,11,0.0,7,1,256,0
354,185000,7,427.0,832.0,885,2,11,40.0,7,1,0,94
355,191000,6,440.0,952.0,952,2,10,0.0,7,1,0,84
356,178000,6,380.0,799.0,799,2,15,0.0,7,1,0,40
357,185000,6,420.0,680.0,680,2,16,68.0,6,1,232,63
358,181316,6,409.0,707.0,707,2,14,0.0,7,1,0,46
359,166000,6,430.0,1181.0,1190,2,16,45.0,6,1,0,21
360,178000,6,389.0,808.0,808,2,16,0.0,7,1,342,40
361,174000,6,343.0,702.0,702,2,14,0.0,6,1,0,36
362,173000,6,400.0,1158.0,1167,2,17,106.0,6,0,120,26
363,225000,7,490.0,978.0,1005,2,10,344.0,9,1,0,0
364,180500,7,500.0,1424.0,1442,2,19,0.0,5,0,0,34
365,187500,8,565.0,1220.0,1360,1,25,0.0,4,1,63,0
366,501837,9,1166.0,2216.0,2234,2,0,748.0,9,1,0,60
367,372500,8,834.0,2046.0,2046,2,1,464.0,7,1,322,82
368,260000,7,430.0,1530.0,1530,2,4,16.0,7,1,168,36
369,185000,5,567.0,1122.0,946,2,32,157.0,6,1,0,176
370,260000,7,484.0,845.0,1153,2,29,278.0,10,1,288,195
371,181000,6,435.0,1362.0,1586,2,11,0.0,7,1,192,0
372,82500,7,544.0,1386.0,1411,2,32,209.0,6,1,192,0
373,215000,6,529.0,1602.0,1602,2,9,126.0,8,1,240,0
374,154000,7,529.0,832.0,1154,2,31,256.0,8,1,192,192
375,200000,6,484.0,1427.0,1671,2,23,101.0,7,1,252,55
376,249000,7,441.0,1043.0,1539,2,18,229.0,9,1,178,84
377,187500,7,588.0,1372.0,1472,2,29,225.0,6,2,233,48
378,184000,6,479.0,1140.0,1707,2,11,144.0,7,1,0,0
379,278000,8,542.0,2524.0,2524,2,28,0.0,9,1,474,120
380,157000,7,478.0,1271.0,1601,2,31,206.0,7,1,0,0
381,152000,7,479.0,1090.0,1370,2,33,189.0,6,1,0,0
382,197500,5,484.0,780.0,1088,2,33,44.0,9,1,448,96
383,240900,7,581.0,926.0,1016,2,6,0.0,7,1,0,35
384,263435,8,552.0,832.0,832,2,0,110.0,8,0,0,150
385,220000,8,588.0,1058.0,1058,2,8,0.0,7,1,0,134
386,235000,8,565.0,972.0,972,2,7,0.0,7,1,225,48
387,213000,5,478.0,1621.0,1621,2,34,161.0,7,2,0,0
388,167900,6,528.0,1116.0,1116,2,35,196.0,6,1,0,0
389,158000,7,506.0,1176.0,1193,2,34,0.0,5,1,40,0
390,165000,6,478.0,1064.0,1350,2,35,174.0,7,1,0,0
391,158000,6,583.0,689.0,1378,2,37,333.0,7,1,0,104
392,136000,5,0.0,896.0,896,2,35,0.0,8,0,32,45
393,148500,5,902.0,1002.0,1002,1,39,76.0,5,0,0,0
394,156000,6,440.0,1026.0,1026,1,4,0.0,5,0,171,48
395,128000,5,477.0,1180.0,1180,1,39,0.0,6,0,0,45
396,143000,5,336.0,1043.0,1050,1,38,178.0,6,0,0,0
397,76500,4,576.0,864.0,864,1,39,0.0,5,0,210,0
398,120500,4,660.0,864.0,864,1,39,0.0,5,0,96,0
399,124500,4,463.0,864.0,864,1,39,0.0,5,0,0,0
400,97000,4,576.0,864.0,864,1,38,0.0,4,0,216,0
401,130000,4,576.0,864.0,864,1,3,0.0,5,0,200,0
402,111000,6,264.0,483.0,483,1,36,504.0,5,0,0,0
403,125000,5,440.0,765.0,765,1,39,312.0,7,0,0,36
404,112000,5,280.0,630.0,630,2,38,142.0,6,0,0,0
